2026-02-03 12:05:29 | PID=43620 | PPID=38554 | COMM=sudo | SYSCALL=read | FD=9 | COUNT=65536
2026-02-03 12:05:29 | PID=43620 | PPID=38554 | COMM=sudo | SYSCALL=write | FD=8 | COUNT=40
2026-02-03 12:05:29 | PID=8073 | PPID=8028 | COMM=Chrome_ChildIOT | SYSCALL=write | FD=35 | COUNT=1
2026-02-03 12:05:29 | PID=8023 | PPID=3139 | COMM=Chrome_IOThread | SYSCALL=write | FD=13 | COUNT=1
2026-02-03 12:05:29 | PID=8073 | PPID=8028 | COMM=Chrome_ChildIOT | SYSCALL=write | FD=35 | COUNT=1
2026-02-03 12:05:29 | PID=8073 | PPID=8028 | COMM=Chrome_ChildIOT | SYSCALL=write | FD=35 | COUNT=1
2026-02-03 12:05:29 | PID=8023 | PPID=3139 | COMM=Chrome_IOThread | SYSCALL=write | FD=13 | COUNT=1
2026-02-03 12:05:29 | PID=8107 | PPID=8031 | COMM=Compositor | SYSCALL=write | FD=17 | COUNT=8
2026-02-03 12:05:29 | PID=8107 | PPID=8031 | COMM=Chrome_ChildIOT | SYSCALL=read | FD=17 | COUNT=8
2026-02-03 12:05:29 | PID=8073 | PPID=8028 | COMM=Chrome_ChildIOT | SYSCALL=write | FD=15 | COUNT=1
2026-02-03 12:05:29 | PID=8107 | PPID=8031 | COMM=Compositor | SYSCALL=write | FD=17 | COUNT=8
2026-02-03 12:05:29 | PID=8107 | PPID=8031 | COMM=Chrome_ChildIOT | SYSCALL=read | FD=17 | COUNT=8
2026-02-03 12:05:29 | PID=8073 | PPID=8028 | COMM=Chrome_ChildIOT | SYSCALL=write | FD=35 | COUNT=1
2026-02-03 12:05:29 | PID=8023 | PPID=3139 | COMM=Chrome_IOThread | SYSCALL=write | FD=13 | COUNT=1
2026-02-03 12:05:29 | PID=8107 | PPID=8031 | COMM=Compositor | SYSCALL=write | FD=17 | COUNT=8
2026-02-03 12:05:29 | PID=8107 | PPID=8031 | COMM=Chrome_ChildIOT | SYSCALL=read | FD=17 | COUNT=8
2026-02-03 12:05:29 | PID=8073 | PPID=8028 | COMM=Chrome_ChildIOT | SYSCALL=write | FD=15 | COUNT=1
2026-02-03 12:05:29 | PID=8073 | PPID=8028 | COMM=Chrome_ChildIOT | SYSCALL=write | FD=35 | COUNT=1
2026-02-03 12:05:29 | PID=8073 | PPID=8028 | COMM=Chrome_ChildIOT | SYSCALL=write | FD=35 | COUNT=1
2026-02-03 12:05:29 | PID=8073 | PPID=8028 | COMM=Chrome_ChildIOT | SYSCALL=write | FD=35 | COUNT=1
2026-02-03 12:05:29 | PID=8073 | PPID=8028 | COMM=Chrome_ChildIOT | SYSCALL=write | FD=35 | COUNT=1
2026-02-03 12:05:29 | PID=3139 | PPID=2861 | COMM=Mutter Input Th | SYSCALL=read | FD=27 | COUNT=7872
2026-02-03 12:05:29 | PID=3139 | PPID=2861 | COMM=Mutter Input Th | SYSCALL=read | FD=27 | COUNT=7872
2026-02-03 12:05:29 | PID=3139 | PPID=2861 | COMM=Mutter Input Th | SYSCALL=write | FD=3 | COUNT=8
2026-02-03 12:05:29 | PID=3299 | PPID=2861 | COMM=ibus-daemon | SYSCALL=read | FD=4 | COUNT=8
2026-02-03 12:05:29 | PID=3299 | PPID=2861 | COMM=ibus-daemon | SYSCALL=write | FD=6 | COUNT=8
2026-02-03 12:05:29 | PID=3299 | PPID=2861 | COMM=ibus-daemon | SYSCALL=write | FD=6 | COUNT=8
2026-02-03 12:05:29 | PID=3299 | PPID=2861 | COMM=ibus-daemon | SYSCALL=write | FD=6 | COUNT=8
2026-02-03 12:05:29 | PID=3299 | PPID=2861 | COMM=ibus-daemon | SYSCALL=read | FD=4 | COUNT=8
2026-02-03 12:05:29 | PID=3299 | PPID=2861 | COMM=ibus-daemon | SYSCALL=read | FD=4 | COUNT=8
2026-02-03 12:05:29 | PID=3299 | PPID=2861 | COMM=ibus-daemon | SYSCALL=read | FD=4 | COUNT=8
2026-02-03 12:05:29 | PID=3299 | PPID=2861 | COMM=ibus-daemon | SYSCALL=read | FD=4 | COUNT=8
2026-02-03 12:05:29 | PID=3592 | PPID=3299 | COMM=ibus-engine-sim | SYSCALL=read | FD=4 | COUNT=8
2026-02-03 12:05:29 | PID=3592 | PPID=3299 | COMM=ibus-engine-sim | SYSCALL=read | FD=4 | COUNT=8
2026-02-03 12:05:29 | PID=3400 | PPID=3299 | COMM=ibus-extension- | SYSCALL=read | FD=5 | COUNT=8
2026-02-03 12:05:29 | PID=3592 | PPID=3299 | COMM=ibus-engine-sim | SYSCALL=write | FD=6 | COUNT=8
2026-02-03 12:05:29 | PID=3299 | PPID=2861 | COMM=ibus-daemon | SYSCALL=read | FD=4 | COUNT=8
2026-02-03 12:05:29 | PID=3299 | PPID=2861 | COMM=ibus-daemon | SYSCALL=write | FD=6 | COUNT=8
2026-02-03 12:05:29 | PID=3299 | PPID=2861 | COMM=ibus-daemon | SYSCALL=read | FD=4 | COUNT=8
2026-02-03 12:05:29 | PID=8023 | PPID=3139 | COMM=Chrome_IOThread | SYSCALL=write | FD=13 | COUNT=1
2026-02-03 12:05:29 | PID=1324 | PPID=1 | COMM=gmain | SYSCALL=write | FD=4 | COUNT=8
2026-02-03 12:05:29 | PID=1324 | PPID=1 | COMM=gmain | SYSCALL=read | FD=7 | COUNT=4096
2026-02-03 12:05:29 | PID=1324 | PPID=1 | COMM=gmain | SYSCALL=write | FD=4 | COUNT=8
2026-02-03 12:05:29 | PID=1324 | PPID=1 | COMM=gmain | SYSCALL=read | FD=4 | COUNT=8
2026-02-03 12:05:29 | PID=3139 | PPID=2861 | COMM=Mutter Input Th | SYSCALL=read | FD=18 | COUNT=8
2026-02-03 12:05:29 | PID=1324 | PPID=1 | COMM=gmain | SYSCALL=write | FD=4 | COUNT=8
2026-02-03 12:05:29 | PID=1324 | PPID=1 | COMM=gmain | SYSCALL=read | FD=7 | COUNT=4096
2026-02-03 12:05:29 | PID=1324 | PPID=1 | COMM=gmain | SYSCALL=write | FD=4 | COUNT=8
2026-02-03 12:05:29 | PID=1324 | PPID=1 | COMM=gmain | SYSCALL=write | FD=4 | COUNT=8
2026-02-03 12:05:29 | PID=1324 | PPID=1 | COMM=gmain | SYSCALL=read | FD=4 | COUNT=8
2026-02-03 12:05:29 | PID=397 | PPID=1 | COMM=systemd-journal | SYSCALL=read | FD=16 | COUNT=8
2026-02-03 12:05:30 | PID=8073 | PPID=8028 | COMM=Chrome_ChildIOT | SYSCALL=write | FD=35 | COUNT=1
2026-02-03 12:05:30 | PID=8073 | PPID=8028 | COMM=Chrome_ChildIOT | SYSCALL=write | FD=35 | COUNT=1
2026-02-03 12:05:30 | PID=8073 | PPID=8028 | COMM=Chrome_ChildIOT | SYSCALL=write | FD=35 | COUNT=1
2026-02-03 12:05:30 | PID=8073 | PPID=8028 | COMM=Chrome_ChildIOT | SYSCALL=write | FD=35 | COUNT=1
2026-02-03 12:05:30 | PID=8073 | PPID=8028 | COMM=Chrome_ChildIOT | SYSCALL=write | FD=35 | COUNT=1
2026-02-03 12:05:30 | PID=8107 | PPID=8031 | COMM=Chrome_ChildIOT | SYSCALL=read | FD=17 | COUNT=8
2026-02-03 12:05:30 | PID=8023 | PPID=3139 | COMM=Chrome_IOThread | SYSCALL=write | FD=18 | COUNT=8
2026-02-03 12:05:30 | PID=8023 | PPID=3139 | COMM=Chrome_IOThread | SYSCALL=write | FD=13 | COUNT=1
2026-02-03 12:05:30 | PID=8023 | PPID=3139 | COMM=Chrome_IOThread | SYSCALL=read | FD=18 | COUNT=8
2026-02-03 12:05:30 | PID=8073 | PPID=8028 | COMM=Chrome_ChildIOT | SYSCALL=write | FD=35 | COUNT=1
2026-02-03 12:05:30 | PID=8107 | PPID=8031 | COMM=Chrome_ChildIOT | SYSCALL=read | FD=17 | COUNT=8
2026-02-03 12:05:30 | PID=8023 | PPID=3139 | COMM=Chrome_IOThread | SYSCALL=write | FD=18 | COUNT=8
2026-02-03 12:05:30 | PID=8023 | PPID=3139 | COMM=Chrome_IOThread | SYSCALL=write | FD=13 | COUNT=1
2026-02-03 12:05:30 | PID=8023 | PPID=3139 | COMM=Chrome_IOThread | SYSCALL=read | FD=18 | COUNT=8
2026-02-03 12:05:30 | PID=8107 | PPID=8031 | COMM=Chrome_ChildIOT | SYSCALL=read | FD=17 | COUNT=8
2026-02-03 12:05:30 | PID=8023 | PPID=3139 | COMM=Chrome_IOThread | SYSCALL=write | FD=18 | COUNT=8
2026-02-03 12:05:30 | PID=8107 | PPID=8031 | COMM=Chrome_ChildIOT | SYSCALL=read | FD=17 | COUNT=8
2026-02-03 12:05:30 | PID=8023 | PPID=3139 | COMM=Chrome_IOThread | SYSCALL=write | FD=13 | COUNT=1
2026-02-03 12:05:30 | PID=8023 | PPID=3139 | COMM=Chrome_IOThread | SYSCALL=read | FD=18 | COUNT=8
2026-02-03 12:05:30 | PID=8023 | PPID=3139 | COMM=Chrome_IOThread | SYSCALL=write | FD=18 | COUNT=8
2026-02-03 12:05:30 | PID=8107 | PPID=8031 | COMM=Chrome_ChildIOT | SYSCALL=read | FD=17 | COUNT=8
2026-02-03 12:05:30 | PID=8023 | PPID=3139 | COMM=Chrome_IOThread | SYSCALL=read | FD=18 | COUNT=8
2026-02-03 12:05:30 | PID=8023 | PPID=3139 | COMM=Chrome_IOThread | SYSCALL=write | FD=18 | COUNT=8
2026-02-03 12:05:30 | PID=8107 | PPID=8031 | COMM=Chrome_ChildIOT | SYSCALL=read | FD=17 | COUNT=8
2026-02-03 12:05:30 | PID=8023 | PPID=3139 | COMM=Chrome_IOThread | SYSCALL=read | FD=18 | COUNT=8
2026-02-03 12:05:30 | PID=8023 | PPID=3139 | COMM=Chrome_IOThread | SYSCALL=write | FD=18 | COUNT=8
2026-02-03 12:05:30 | PID=8023 | PPID=3139 | COMM=Chrome_IOThread | SYSCALL=read | FD=18 | COUNT=8
2026-02-03 12:05:30 | PID=8107 | PPID=8031 | COMM=Chrome_ChildIOT | SYSCALL=read | FD=17 | COUNT=8
2026-02-03 12:05:30 | PID=8023 | PPID=3139 | COMM=Chrome_IOThread | SYSCALL=write | FD=18 | COUNT=8
2026-02-03 12:05:30 | PID=8023 | PPID=3139 | COMM=Chrome_IOThread | SYSCALL=write | FD=13 | COUNT=1
2026-02-03 12:05:30 | PID=8023 | PPID=3139 | COMM=Chrome_IOThread | SYSCALL=read | FD=18 | COUNT=8
2026-02-03 12:05:30 | PID=8107 | PPID=8031 | COMM=Chrome_ChildIOT | SYSCALL=read | FD=17 | COUNT=8
